panel_year,num_m_2024,den_m_2024,phi,num_b,den_b
2015,7222.930238745794,27292.751665489828,0.2646464646464647,7.22,27.29
2016,8095.561084490314,27169.08915919237,0.2979695431472081,8.1,27.17
2017,9937.34495,24380.338,0.40759668508287294,9.94,24.38
2018,5314.74900666179,27692.07899262656,0.19192307692307695,5.31,27.69
2019,6377.1718205223215,31479.567931142592,0.20258130081300812,6.38,31.48
2020,31031.412829419685,35675.077677535286,0.8698344852928034,31.03,35.68
2021,6947.141495006084,30616.785749861898,0.22690629747237331,6.95,30.62
2022,12484.636325534777,29799.51391269124,0.41895436154137156,12.48,29.8
2023,3665.6752690850767,34116.41733566372,0.10744607890738721,3.67,34.12
2024,12839.267930471131,36300,0.35369884105981075,12.84,36.3
